dataset,parent_to_true_um,angle_vel_true_deg,n_gt_children
44b6_0113de3b,2.333728575156074,28.264489545044984,1
44b6_0113de3b,4.0827619710803615,91.98863253284696,1
44b6_0113de3b,3.72334275215162,,1
44b6_0113de3b,0.40625,100.02498786207575,1
44b6_0113de3b,1.86167137607581,22.20765429859646,1
44b6_0113de3b,2.0714766773970688,20.446413905221654,1
44b6_0113de3b,2.7252078475778685,66.8119864254182,1
44b6_0113de3b,1.86167137607581,28.560825217811256,1
44b6_0113de3b,2.333728575156074,12.90167943645999,1
44b6_0113de3b,3.2752922102462856,46.61689310503679,1
44b6_0113de3b,1.284675299443404,49.76364169072618,1
44b6_0113de3b,2.1877232028983924,61.74268831149623,1
44b6_0113de3b,1.1490485194281397,76.3669777746336,1
44b6_0113de3b,3.8540258983302125,12.724355685422363,1
44b6_0113de3b,6.724634051381532,24.08220272703551,1
44b6_0113de3b,3.040096626753827,40.69639215113094,1
44b6_0113de3b,1.86167137607581,35.70840231807213,1
44b6_0113de3b,1.6750116604071745,60.302874828953506,1
44b6_0113de3b,2.7252078475778685,49.39870535499553,1
44b6_0113de3b,4.0625,126.86989764584402,1
44b6_0113de3b,3.447145558284419,12.24366783546107,1
44b6_0113de3b,7.814374775053984,163.13601515113564,1
44b6_0113de3b,3.300390601883359,29.49620849656643,1
44b6_0113de3b,1.8168052317185792,12.604382648379175,1
44b6_0113de3b,2.1877232028983924,32.81120602934053,1
44b6_0113de3b,3.8540258983302125,64.89590974977861,1
44b6_0113de3b,3.494694639736067,86.03559396403553,1
44b6_0113de3b,2.333728575156074,69.17103516203332,1
44b6_0113de3b,5.138701197773616,14.963217433307127,1
44b6_0113de3b,4.614113030962723,28.155171687053933,1
44b6_0113de3b,6.410516871711672,16.065591422225015,1
44b6_0113de3b,3.374565944310468,42.95426520245598,1
44b6_0113de3b,3.65625,66.15736397620763,1
44b6_0113de3b,2.03125,55.30484646876604,1
44b6_0113de3b,4.4502457797294745,22.82699023521975,1
44b6_0113de3b,3.917733121653388,82.87758582104647,1
44b6_0113de3b,3.494694639736067,6.478353972400488,1
44b6_0113de3b,2.0714766773970688,7.1250163489018075,1
44b6_0113de3b,2.2980970388562794,19.106605350869078,1
44b6_0113de3b,1.8168052317185792,66.42182152179818,1
44b6_0113de3b,2.4375,26.565051177077994,1
44b6_0113de3b,3.350023320814349,66.51389245496905,1
44b6_0113de3b,4.0827619710803615,23.840128854959865,1
44b6_0113de3b,3.374565944310468,45.8556636723969,1
44b6_0113de3b,4.021669817998489,18.278471366897346,1
44b6_0113de3b,2.1877232028983924,21.80140948635181,1
44b6_0113de3b,2.1877232028983924,43.60281897270363,1
44b6_0b24845f,2.9295104113144914,90.0,1
44b6_0b24845f,1.86167137607581,10.163203369476319,1
44b6_0b24845f,2.4375,31.8061000193785,1
44b6_0b24845f,2.632800908728193,5.0134749961030085,1
44b6_0b24845f,1.6750116604071745,30.029474080019895,1
44b6_0b24845f,0.9084026158592896,60.692698806934786,1
44b6_0b24845f,2.333728575156074,21.745179173516373,1
44b6_0b24845f,2.0714766773970688,106.10211375198602,1
44b6_0b24845f,0.0,,1
44b6_0b24845f,1.7235727791422095,166.36697777463363,1
44b6_0b24845f,0.9084026158592896,14.036243467926484,1
44b6_0b24845f,5.154734625807618,26.729368602848048,1
44b6_0b24845f,2.333728575156074,38.26016778348882,1
44b6_0b24845f,1.6750116604071745,15.708637829015716,1
44b6_0b24845f,0.9084026158592896,71.50582037526348,1
44b6_0b24845f,2.0714766773970688,84.96836277827504,1
44b6_0b24845f,0.40625,62.06164727039765,1
44b6_0b24845f,1.86167137607581,21.6259722854344,1
44b6_0b24845f,3.300390601883359,32.3922214955795,1
44b6_0b24845f,1.1490485194281397,62.42495228952325,1
44b6_0b24845f,2.4375,,1
44b6_0b24845f,2.9575446425202108,7.895142105045824,1
44b6_0b24845f,0.9084026158592896,116.010063777574,1
44b6_0b24845f,0.9084026158592896,90.0,1
44b6_0b24845f,1.625,90.0,1
44b6_0b24845f,2.7252078475778685,37.340362293841316,1
44b6_0b24845f,1.86167137607581,32.66997331820362,1
44b6_0b24845f,1.86167137607581,81.12360491902666,1
44b6_0b24845f,0.9084026158592896,60.7940677526006,1
44b6_0b24845f,1.8168052317185792,49.398705354995535,1
44b6_0b24845f,1.7235727791422095,108.43494882292201,1
44b6_0b24845f,0.40625,79.97501213792427,1
44b6_0b24845f,3.350023320814349,12.528807709151492,1
44b6_0b24845f,0.5745242597140698,,1
44b6_0b24845f,3.2752922102462856,,1
44b6_0b24845f,2.9575446425202108,37.00493687247433,1
44b6_0b24845f,0.5745242597140698,56.309932474020215,1
44b6_0b24845f,2.6012692214570947,47.409573364093035,1
44b6_0b24845f,2.0714766773970688,52.1250163489018,1
44b6_0b24845f,3.300390601883359,0.0,1
44b6_0b24845f,2.368824207280903,29.353226859959396,1
44b6_0b24845f,4.0827619710803615,29.71061986959467,1
44b6_0b24845f,2.0714766773970688,63.989936222426,1
44b6_0b24845f,3.7454399357752353,50.9061411137705,1
44b6_0b24845f,0.9084026158592896,83.94925398408826,1
44b6_0b24845f,1.284675299443404,98.13010235415598,1
